id,smt_finish_seconds
2699,265.05
332,539.7
3282,121.06
5891,1539.41
858,636.52
4019,184.3
6213,381.61
4329,319.07
1650,894.4
346,547.78
2221,802.03
2574,681.6
4774,900.28
7342,253.01
4883,476.67
2638,400.49
328,537.85
4552,339.97
7391,261.0
4184,241.0
7820,546.71
5942,530.53
1941,551.24
4270,283.46
3838,328.35
6836,319.18
3478,212.99
6358,203.9
7300,240.0
3312,170.78
1295,922.37
2614,411.27
5250,825.99
3315,172.35
3206,253.01
3053,474.71
3470,209.99
7438,277.7
1451,1767.36
4915,501.02
7356,253.98
1893,411.08
2126,588.99
6930,350.06
3908,420.48
1746,771.65
7172,193.42
1053,1244.75
2851,247.14
7679,202.26
3196,242.8
1617,3420.57
2406,647.88
7003,425.61
533,760.66
6916,345.89
3852,334.08
3484,210.0
5180,705.27
7058,2476.7
17,519.14
2519,457.7
339,543.22
3946,178.09
6500,239.99
196,420.89
7265,228.97
5200,739.44
6159,288.62
532,760.79
5505,554.41
3995,165.91
6475,233.98
5113,634.6
3454,207.99
5820,583.92
7856,189.65
2276,2326.84
6428,223.07
2629,264.05
1739,757.95
4101,212.98
2337,515.09
7387,260.99
1025,570.24
4695,491.88
6105,243.0
6606,262.9
7810,281.96
2755,352.91
5097,615.02
1421,1268.46
3856,338.81
7687,217.01
6753,296.14
4803,373.54
2948,392.0
2344,526.05
5897,923.78
1287,890.63
5166,695.87
6778,301.88
2142,611.93
1074,2246.96
2884,284.0
7864,306.55
3458,207.95
4520,277.05
4894,484.4
2318,489.76
6666,274.29
7388,260.99
7854,286.05
6639,269.96
3535,220.92
6740,292.99
2865,263.44
5434,492.76
4885,478.68
2471,846.39
3817,314.94
5367,403.77
3574,231.2
1720,677.3
425,603.39
5269,877.63
7741,275.98
4628,421.01
3997,167.09
1912,647.39
6990,393.99
1744,770.28
5856,742.51
3827,323.04
2992,243.62
5608,659.92
2903,305.21
6263,1151.42
6850,320.96
2164,647.86
1022,559.0
2306,472.55
5163,686.58
1400,869.32
2746,332.25
6329,191.11
4320,314.39
4325,314.96
4317,311.99
6206,355.44
2945,387.96
6767,298.99
1385,832.72
5096,613.89
970,307.45
1193,974.72
3731,274.98
7631,276.01
4765,777.04
6984,388.99
5294,1019.69
3221,277.96
1419,850.49
7313,244.01
2825,571.68
548,791.99
6467,232.04
4656,630.31
5879,982.37
5641,710.96
5493,543.49
6623,265.89
957,1362.76
6922,348.41
2111,578.41
4534,293.03
1790,684.58
5624,682.6
2987,175.65
2354,556.23
2351,545.0
6417,221.88
228,462.82
69,487.26
2516,440.06
1079,1770.85
373,564.15
468,641.64
4236,263.89
50,295.31
2453,735.15
5375,413.82
6045,376.57
6590,259.01
4108,215.01
6422,223.03
2868,263.35
5071,600.41
5749,938.83
1352,1719.97
1180,930.5
7642,331.92
91,567.09
1972,816.19
7256,227.77
3443,209.99
2458,753.36
6124,260.0
5465,521.51
437,610.94
4410,319.01
3383,193.1
4716,570.27
1315,1153.96
4998,556.77
179,398.31
682,435.62
5728,1610.59
1005,494.11
7062,1689.63
6141,270.85
1020,543.86
2921,327.51
