iter	Passed	Remaining
0	139	139296
1	141	70745
2	144	47888
3	146	36393
4	148	29623
5	151	25104
6	153	21798
7	155	19341
8	158	17417
9	160	15862
10	162	14609
11	164	13544
12	166	12641
13	168	11892
14	170	11215
15	172	10627
16	175	10125
17	177	9659
18	179	9250
19	181	8886
20	183	8550
21	185	8245
22	187	7961
23	189	7716
24	191	7478
25	194	7269
26	196	7076
27	198	6890
28	200	6712
29	202	6558
30	204	6405
31	206	6260
32	209	6151
33	212	6024
34	214	5902
35	216	5796
36	218	5687
37	220	5582
38	223	5497
39	225	5405
40	227	5318
41	229	5241
42	231	5160
43	233	5081
44	236	5017
45	238	4945
46	240	4877
47	243	4821
48	245	4756
49	247	4696
50	249	4644
51	251	4587
52	253	4533
53	256	4485
54	258	4437
55	260	4386
56	262	4341
57	264	4297
58	266	4254
59	268	4214
60	271	4174
61	273	4134
62	275	4095
63	277	4059
64	279	4021
65	281	3985
66	283	3953
67	285	3919
68	287	3884
69	290	3857
70	292	3825
71	294	3793
72	296	3769
73	298	3739
74	300	3709
75	303	3685
76	305	3660
77	307	3633
78	309	3606
79	311	3583
80	313	3557
81	315	3533
82	318	3515
83	320	3495
84	322	3475
85	325	3458
86	327	3436
87	329	3414
88	331	3395
89	333	3375
90	335	3355
91	338	3341
92	340	3324
93	343	3306
94	345	3290
95	347	3272
96	349	3254
97	351	3239
98	354	3223
99	356	3206
100	358	3191
101	360	3175
102	362	3159
103	365	3145
104	367	3129
105	369	3114
106	371	3100
107	373	3086
108	375	3071
109	378	3058
110	380	3045
111	382	3030
112	384	3018
113	386	3003
114	388	2989
115	390	2975
116	392	2964
117	395	2953
118	397	2940
119	399	2929
120	401	2915
121	403	2903
122	405	2894
123	407	2881
124	410	2872
125	413	2869
126	415	2858
127	418	2849
128	420	2839
129	422	2828
130	425	2819
131	427	2808
132	429	2797
133	431	2788
134	433	2778
135	435	2768
136	437	2758
137	440	2749
138	442	2739
139	444	2729
140	446	2721
141	448	2711
142	450	2702
143	453	2696
144	456	2689
145	458	2681
146	460	2673
147	462	2664
148	464	2654
149	467	2646
150	469	2637
151	471	2628
152	473	2620
153	475	2611
154	477	2603
155	480	2597
156	482	2588
157	484	2579
158	486	2574
159	488	2566
160	490	2558
161	493	2551
162	495	2544
163	497	2535
164	499	2529
165	501	2521
166	503	2512
167	505	2505
168	508	2498
169	510	2491
170	512	2483
171	514	2476
172	516	2469
173	518	2462
174	520	2455
175	522	2447
176	524	2440
177	530	2451
178	532	2444
179	535	2437
180	537	2430
181	539	2423
182	541	2417
183	543	2409
184	545	2403
185	547	2397
186	549	2390
187	551	2383
188	562	2411
189	564	2404
190	565	2396
191	568	2391
192	570	2384
193	572	2377
194	574	2372
195	576	2366
196	579	2360
197	581	2356
198	583	2350
199	586	2344
200	589	2341
201	591	2335
202	593	2330
203	596	2325
204	598	2319
205	600	2313
206	602	2307
207	604	2301
208	606	2294
209	608	2289
210	610	2283
211	612	2277
212	615	2272
213	617	2267
214	619	2261
215	621	2255
216	623	2249
217	625	2243
218	627	2238
219	629	2233
220	631	2227
221	633	2221
222	636	2216
223	638	2211
224	640	2205
225	642	2201
226	644	2196
227	647	2191
228	649	2187
229	651	2182
230	653	2176
231	656	2172
232	658	2167
233	660	2161
234	662	2157
235	664	2151
236	666	2146
237	668	2141
238	670	2136
239	673	2131
240	675	2126
241	677	2121
242	679	2115
243	681	2110
244	683	2106
245	685	2101
246	687	2096
247	689	2092
248	692	2087
249	694	2082
250	696	2078
251	698	2073
252	700	2068
253	703	2064
254	705	2061
255	707	2056
256	709	2052
257	712	2047
258	714	2042
259	716	2038
260	718	2034
261	720	2029
262	722	2024
263	724	2020
264	726	2015
265	728	2011
266	731	2007
267	733	2002
268	735	1998
269	737	1994
270	739	1989
271	741	1984
272	744	1981
273	746	1977
274	748	1972
275	750	1969
276	753	1965
277	754	1960
278	757	1956
279	759	1952
280	761	1949
281	764	1946
282	766	1942
283	768	1938
284	771	1934
285	773	1930
286	775	1926
287	777	1923
288	780	1919
289	782	1914
290	784	1911
291	786	1906
292	788	1902
293	790	1898
294	792	1894
295	794	1889
296	796	1885
297	798	1881
298	800	1877
299	803	1873
300	805	1870
301	807	1866
302	809	1862
303	811	1858
304	813	1854
305	815	1850
306	818	1846
307	820	1842
308	822	1838
309	824	1835
310	826	1831
311	828	1827
312	830	1822
313	832	1819
314	834	1815
315	836	1811
316	839	1808
317	841	1804
318	843	1800
319	845	1796
320	847	1792
321	849	1788
322	851	1785
323	853	1781
324	855	1777
325	858	1774
326	860	1770
327	862	1766
328	864	1762
329	866	1758
330	868	1754
331	870	1751
332	872	1747
333	874	1743
334	876	1739
335	878	1736
336	880	1732
337	882	1729
338	884	1725
339	886	1721
340	888	1717
341	890	1714
342	893	1711
343	895	1707
344	897	1703
345	899	1700
346	901	1696
347	903	1692
348	905	1689
349	907	1685
350	909	1681
351	911	1677
352	913	1674
353	915	1670
354	917	1667
355	920	1664
356	922	1661
357	924	1657
358	926	1654
359	928	1650
360	930	1646
361	932	1643
362	934	1639
363	936	1635
364	938	1632
365	940	1629
366	942	1626
367	945	1623
368	947	1620
369	949	1616
370	951	1613
371	953	1610
372	955	1606
373	957	1603
374	960	1600
375	962	1596
376	964	1593
377	966	1589
378	968	1586
379	970	1582
380	972	1579
381	974	1576
382	976	1572
383	978	1569
384	980	1566
385	982	1563
386	984	1559
387	986	1556
