iter	RMSE
0	407.1257469
1	395.6024291
2	383.0121691
3	372.9665698
4	361.1317004
5	351.8041875
6	343.5763719
7	335.3363948
8	324.097954
9	316.3010376
10	307.5215427
11	299.3452778
12	291.9855205
13	284.6818304
14	279.3546051
15	273.8847285
16	268.0198185
17	261.8174561
18	256.9991215
19	251.1644797
20	247.3417921
21	241.3962977
22	235.3996371
23	230.8470525
24	227.6914414
25	222.1737365
26	218.1097952
27	213.9090816
28	211.2719215
29	208.7504449
30	205.3116463
31	200.7607814
32	196.1724871
33	194.0301296
34	189.6418892
35	186.1411727
36	184.699553
37	181.5339175
38	179.0250467
39	177.0069186
40	172.8216812
41	170.2108198
42	169.3160644
43	167.1508803
44	164.6908271
45	163.4457373
46	161.1575904
47	159.3681465
48	158.3407183
49	157.4344267
50	156.3412406
51	153.7742166
52	151.7752537
53	150.8246508
54	148.1244111
55	146.7063993
56	144.6082197
57	144.0344907
58	142.8284878
59	140.2465691
60	138.1044479
61	137.592991
62	136.7226726
63	136.2021763
64	135.6033535
65	132.8454903
66	130.772736
67	128.4541062
68	126.9729483
69	125.5161373
70	125.050584
71	124.6565646
72	122.9856468
73	122.1088977
74	119.9775023
75	119.3538184
76	117.7871971
77	116.3810017
78	114.5005669
79	112.6593742
80	111.4384
81	111.0687682
82	110.6297106
83	110.0913768
84	109.5978455
85	108.4009855
86	108.0948944
87	106.5080174
88	104.6712725
89	103.1023837
90	102.6934661
91	102.379471
92	102.071148
93	101.6260703
94	101.2672538
95	99.84489892
96	99.55266575
97	97.80760652
98	97.43441034
99	97.08072999
100	95.75496395
101	95.29259369
102	94.87240171
103	94.31339598
104	93.04276185
105	92.69844349
106	91.74235345
107	90.96623693
108	89.93494156
109	89.68716816
110	89.39879671
111	88.93138838
112	88.35596878
113	87.89810381
114	87.51838642
115	87.02261193
116	86.16579881
117	85.01056673
118	84.18091744
119	83.85454208
120	83.47919536
121	83.22790585
122	82.21618859
123	81.27352266
124	80.50820647
125	80.2542495
126	79.93538121
127	79.61377283
128	79.41584031
129	78.64839964
130	78.45855
131	78.11009879
132	77.90964976
133	77.13116885
134	76.57673926
135	76.00879494
136	75.47089195
137	75.30238425
138	75.03260918
139	74.57495664
140	74.39977461
141	73.73019708
142	73.56796467
143	73.39997025
144	72.89655972
145	72.63216293
146	72.22527807
147	72.08407444
148	71.94461653
149	71.80410149
150	71.48059019
151	71.01547931
152	70.66602999
153	70.5348062
154	70.39408059
155	70.13157482
156	69.80799493
157	69.58932214
158	69.19560458
159	68.55532787
160	68.12092473
161	67.84176948
162	67.54531573
163	67.27677966
164	67.16895492
165	66.48428356
166	66.11505592
167	65.55421003
168	65.18532035
169	65.07623185
170	64.95579649
171	64.79397361
172	64.55356692
173	64.23227143
174	63.29313439
175	62.76983604
176	62.5383764
177	62.36035374
178	62.0730616
179	61.39948763
180	61.12465008
181	61.02642945
182	60.79434281
183	60.39085206
184	59.99913905
185	59.74301727
186	59.41797663
