id,smt_finish_seconds
2699,265.03
332,537.3
3282,126.25
5891,1555.11
858,633.77
4019,183.99
6213,379.25
4329,317.48
1650,883.36
346,544.78
2221,797.17
2574,682.84
4774,887.75
7342,251.99
4883,474.93
2638,397.98
328,535.39
4552,339.03
7391,260.0
4184,240.12
7820,558.01
5942,184.1
1941,549.0
4270,281.81
3838,327.49
6836,317.47
3478,212.91
6358,204.1
7300,239.22
3312,169.96
1295,919.39
2614,676.84
5250,810.84
3315,172.01
3206,252.05
3053,476.53
3470,209.0
7438,277.06
1451,1810.96
4915,501.53
7356,253.01
1893,416.46
2126,586.47
6930,348.37
3908,418.94
1746,768.34
7172,191.79
1053,726.77
2851,246.98
7679,202.07
3196,241.82
1617,3325.0
2406,644.13
7003,421.91
533,757.79
6916,344.42
3852,333.57
3484,209.0
5180,701.8
7058,1917.1
17,517.19
2519,458.94
339,541.08
3946,177.84
6500,239.01
196,420.35
7265,228.96
5200,732.2
6159,287.56
532,758.42
5505,552.74
3995,165.92
6475,233.02
5113,630.19
3454,208.0
5820,581.92
7856,188.97
2276,1385.9
6428,222.89
2629,264.94
1739,756.07
4101,211.95
2337,512.8
7387,260.0
1025,567.33
4695,489.7
6105,241.94
6606,261.07
7810,280.98
2755,351.92
5097,612.09
1421,1510.86
3856,336.74
7687,215.97
6753,294.92
4803,379.54
2948,391.02
2344,526.6
5897,909.5
1287,886.51
5166,693.83
6778,300.49
2142,612.13
1074,1821.7
2884,282.41
7864,304.8
3458,208.0
4520,276.33
4894,482.67
2318,488.25
6666,273.0
7388,259.97
7854,285.1
6639,268.02
3535,220.01
6740,291.77
2865,263.63
5434,492.09
4885,478.27
2471,837.37
3817,313.88
5367,401.43
3574,231.02
1720,673.92
425,601.34
5269,877.13
7741,274.34
4628,421.38
3997,167.04
1912,645.48
6990,393.63
1744,767.74
5856,725.82
3827,322.06
2992,245.77
5608,654.26
2903,304.15
6263,1149.48
6850,319.4
2164,645.51
1022,556.29
2306,472.72
5163,685.62
1400,1110.51
2746,332.08
6329,191.18
4320,313.62
4325,314.25
4317,310.27
6206,352.43
2945,386.46
6767,297.76
1385,902.59
5096,610.88
970,303.56
1193,973.0
3731,274.11
7631,274.33
4765,773.18
6984,386.66
5294,991.77
3221,276.9
1419,1088.55
7313,243.0
2825,559.61
548,788.75
6467,231.01
4656,628.93
5879,976.21
5641,707.39
5493,542.79
6623,265.08
957,1530.84
